Artist	Title	Lyric
Taylor Swift	Not One Day*	lyrics for this song are not yet released
Taylor Swift	Wonderful Things*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Foolish One	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Mr. Perfectly Fine	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Need	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Ride of Our Lives*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Don’t You*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	This One’s Different*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Someone Just Told Me*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	Going Louder Folks*	lyrics for this song have yet to be released please check back once the song has been released
Taylor Swift	I Know What I Want (It Ain’t You)	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Grateful	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	In Her Element*	lyrics will be available upon release stay tuned
Selena Gomez	Beautifully Disturbed	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Love Me Tomorrow*	lyrics will be available upon release stay tuned
Selena Gomez	So Sad Today	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Roses	roses is coming
Selena Gomez	Missing U Crazy	whenever you're around trouble calls my name but i dont mind as long as we conclude the day my way
Selena Gomez	Always But Never	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Things Have Changed	seems like things have changed
Selena Gomez	Back To You (Joey Pecoraro Remix)	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Bad Guy	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Bad Girlfriend	i know im not there for you or there when you call im a bad girlfriend im a bad girlfriend
Selena Gomez	KNWADS	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	All Yours	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	That’s Why I Love You	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Closer And Further	the rest of the lyrics coming soon
Selena Gomez	Control mi	chevaune reid
Selena Gomez	Me And My Love	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	NBA (feat. Mau y Ricky, Lali)	letra de nba   mau y ricky lali
Selena Gomez	Top Secrets	got some top secrets  am text me back  baby youre my top secret
Selena Gomez	Headlines	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Sucks To Be You	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Scream	lyrics for this song have yet to be released please check back once the song has been released
Selena Gomez	Two Steps Behind Me	lyrics for this song have yet to be released please check back once the song has been released
Coldplay	Colour Spectrum	ambience  poem because each has been sent as a guide
Coldplay	O (Reprise)	o don't ever let go
Coldplay	Spiderwebs	they built a web for me they spun a web for me
Coldplay	Music of The Spheres*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Mayday*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Real High	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Body*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Love Looks Like Us*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Naked Love*	lyric for this song have yet to be released please check back once the song has been released
Rihanna	Garden*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Bulletproof	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Barz	lyrics from snippet rihanna come on
Rihanna	Laying Down	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Drive Alone	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Love Is a Bitch*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	The Other Side	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Someday*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Burritos	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Intoxicated	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Straight Up Beautiful*	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Disturbia (Jody den Broeder Bum Bum Dub)	w background vocals
Rihanna	Disturbia (Craig C’s Disturbstramental Mix)	w background vocals
Rihanna	Ehh	lyrics for this song have yet to be released please check back once the song has been released
Rihanna	Roll with Rob.	lyrics for this song have yet to be released please check back once the song has been released
Katy Perry	Light The Darkness	tba
Katy Perry	Normalize*	snippet i won't no i won't apologize i will not will not subscribe don't ask me ask me to normalize
